Sample,Het_GL1,Het_GL2,Pop
M_47_14,0.003252709,0.003900671,MNP
M_306_14,0.00324949,0.003881643,MNP
M_301_14,0.003301199,0.0039377,MNP
M_120_13,0.003316097,0.003740989,MNP
M_12_12,0.003290583,0.00381499,MNP
HC_48,0.002614778,0.002964487,HiP
HC_41,0.002571964,0.003034663,HiP
HC_40,0.002543342,0.002993296,HiP
HC_32,0.002645481,0.002972926,HiP
HC_30,0.002710954,0.003079401,HiP
HC_20,0.002532242,0.002944969,HiP
HC_18,0.002600692,0.002980888,HiP
HC_17,0.002731626,0.003112482,HiP
HC_15,0.002554905,0.003004638,HiP
HC_11,0.002562633,0.003027731,HiP
HB_39,0.002484253,0.002918803,HiP
HB_31,0.00260152,0.002983572,HiP
HA_43,0.002670355,0.003093391,HiP
HA_41,0.002631377,0.003090141,HiP
HA_1,0.002633009,0.003085595,HiP
B98_597,0.002687849,0.003145051,KNP
B98_586,0.003332227,0.003935346,KNP
B98_579,0.003338104,0.003879897,KNP
B98_574,0.003258123,0.003768387,KNP
B98_547,0.003356302,0.003903237,KNP
B98_546,0.003287116,0.00383712,KNP
B98_509,0.003232477,0.003699292,KNP
B98_396,0.003295896,0.003854604,KNP
B98_395,0.003217838,0.003696175,KNP
B98_361,0.003254793,0.003767767,KNP
B98_340,0.003206546,0.003751618,KNP
B98_324,0.003288107,0.003781846,KNP
B98_289,0.00324981,0.00370111,KNP
B98_284,0.003319184,0.003798951,KNP
B98_161,0.003295901,0.003789785,KNP
A_87_13,0.002224362,0.002762455,AENP
A_268_14,0.002283693,0.002855078,AENP
A_264_14,0.002102339,0.002626992,AENP
A_251_14,0.002178632,0.002688611,AENP
A_243_14,0.002291319,0.002774089,AENP
